ID,Severity,VPR Score (Beta),VPR Score,CVSS Score,Plugin Name,Software,Path,Software Fix Version
CVE-2026-27143,Critical,4.9,6.7,9.8,Golang: stdlib: security update to 1.25.9stdlib: security update to 1.26.2,go 1.25.7,"/usr/local/manageengine/uems_agent/bin/dcaddonhelper
/usr/local/manageengine/uems_agent/bin/dcagentupgrader
/usr/local/manageengine/uems_agent/bin/dcconfig
/usr/local/manageengine/uems_agent/bin/dcfilescan
/usr/local/manageengine/uems_agent/bin/dcinventory
/usr/local/manageengine/uems_agent/bin/dcondemand
/usr/local/manageengine/uems_agent/bin/dcpatchscan
/usr/local/manageengine/uems_agent/bin/dcrdsagent
/usr/local/manageengine/uems_agent/bin/dcreboothandler
/usr/local/manageengine/uems_agent/bin/dcregister
/usr/local/manageengine/uems_agent/bin/dcservice
/usr/local/manageengine/uems_agent/bin/dctools
/usr/local/manageengine/uems_agent/bin/dctroubleshootingtool
/usr/local/manageengine/uems_agent/bin/dcuiactionhandler
/usr/local/manageengine/uems_agent/bin/dcuserservice
/usr/local/manageengine/uems_agent/bin/meaap
/usr/local/manageengine/uems_agent/bin/NativeUIHandler",1.25.9
CVE-2026-25702,Critical,4.9,5.9,9.8,Linux Distros Unpatched Vulnerability : CVE-2026-25702,linux-aws-6.14-tools-6.14.0-1012 6.14.0-1012.12~24.04.1,,
CVE-2026-23450,Critical,6.9,6.7,9.8,Linux Distros Unpatched Vulnerability : CVE-2026-23450,linux-aws-6.14-tools-6.14.0-1012 6.14.0-1012.12~24.04.1,,
CVE-2026-23450,Critical,6.9,6.7,9.8,Linux Distros Unpatched Vulnerability : CVE-2026-23450,kernel-core 6.12.0-124.52.1.el10_1,,
CVE-2026-23240,Critical,4.9,6.7,9.8,Linux Distros Unpatched Vulnerability : CVE-2026-23240,linux-aws-6.14-tools-6.14.0-1012 6.14.0-1012.12~24.04.1,,
CVE-2026-23240,Critical,4.9,6.7,9.8,Linux Distros Unpatched Vulnerability : CVE-2026-23240,kernel-core 6.12.0-124.52.1.el10_1,,
CVE-2026-23112,Critical,6.9,6.7,9.8,Linux Distros Unpatched Vulnerability : CVE-2026-23112,linux-aws-6.14-tools-6.14.0-1012 6.14.0-1012.12~24.04.1,,
CVE-2026-23112,Critical,6.9,6.7,9.8,Linux Distros Unpatched Vulnerability : CVE-2026-23112,kernel-core 6.12.0-124.52.1.el10_1,,
CVE-2026-0907,Critical,4.9,6.7,9.8,,Microsoft Edge 135.0.3179.85,"C/Program Files (x86)/Microsoft/Edge/Application
C/Program Files (x86)/Microsoft/Edge/Application/msedge.exe
C/Program Files (x86)/Microsoft/Edge/Application/msedge_proxy.exe
C/Program Files (x86)/Microsoft/Edge/Application/pwahelper.exe",144.0.3719.82
CVE-2026-0906,Critical,4.9,6.7,9.8,,Microsoft Edge 135.0.3179.85,"C/Program Files (x86)/Microsoft/Edge/Application
C/Program Files (x86)/Microsoft/Edge/Application/msedge.exe
C/Program Files (x86)/Microsoft/Edge/Application/msedge_proxy.exe
C/Program Files (x86)/Microsoft/Edge/Application/pwahelper.exe",144.0.3719.82
